User Name,Email,Age,Product Name,Price
Shad Cruickshank,eryn_hauck@daugherty.test,97,Mediocre Silk Lamp,60.97
Pres. Divina Cole,tora@osinski.example,55,Awesome Wooden Coat,52.71
Hee Pfeffer,samual.conn@oconnell.test,53,Aerodynamic Concrete Car,84.78
Sheldon Tillman,nestor.lemke@wunsch.test,37,Fantastic Iron Shirt,94.91
Miss Amee Konopelski,yoshiko@spinka.test,95,Lightweight Copper Coat,11.1
Tyesha Hilll,bill.lemke@ankunding.example,37,Heavy Duty Rubber Chair,10.1
Mr. Justine Ward,steven_bergnaum@kunde.test,40,Mediocre Plastic Car,15.84
Thaddeus Lakin,deb@kozey-kertzmann.example,21,Sleek Rubber Lamp,98.77
Dollie Schoen,tamisha@kling-oreilly.example,86,Durable Rubber Clock,43.14
Darwin Conroy,whitney_lebsack@rohan.test,93,Ergonomic Copper Knife,6.68
Peter Erdman,mark.carroll@johns-howe.test,33,Sleek Aluminum Plate,60.26
Christiana Denesik,verline_homenick@larson-crist.example,27,Gorgeous Leather Coat,43.59
Linette Collins,morton@quitzon-schmitt.test,42,Lightweight Silk Hat,81.47
Sunday Littel,chastity@swift-stoltenberg.example,61,Gorgeous Linen Coat,5.69
Valencia Wisoky,priscila@kutch.test,87,Awesome Silk Plate,57.59
Sharen Block,avis@howe.test,75,Lightweight Rubber Gloves,61.35
Mia Hoppe II,carolin.kassulke@gerlach.example,45,Rustic Leather Lamp,15.14
Sen. Adrian Emmerich,deirdre@davis.test,73,Awesome Copper Shirt,98.41
Omar Orn,maxima@crist-kiehn.test,63,Lightweight Silk Computer,84.32
August Stark,branden_gulgowski@gutkowski.example,92,Intelligent Rubber Bottle,55.04
Dr. Leonie Kessler,eryn@glover.test,74,Small Cotton Chair,0.01
Ezra Schmidt V,jalisa@prosacco.test,84,Durable Copper Coat,27.38
Amelia Powlowski,dana_welch@rohan.test,33,Practical Aluminum Bottle,73.1
Zoila Jacobs,vance_boehm@cole.test,33,Incredible Granite Bottle,13.06
Claribel Koepp V,isaac@larson-oconner.test,72,Lightweight Wool Plate,65.83
Eulalia Turner CPA,weldon_littel@cronin.test,71,Awesome Marble Coat,62.5
Sherwood Okuneva,hung@zemlak-kessler.example,38,Incredible Concrete Pants,96.95
Rickie Lindgren,rebecka.ankunding@mayer-pfannerstill.example,61,Mediocre Marble Bag,75.34
Doloris Schaefer,hiram@emard.example,47,Small Iron Wallet,4.97
Sherika Kutch,thi_schmeler@zemlak.test,79,Synergistic Wool Lamp,3.32
Gov. Kaylee Marvin,vito.west@ruecker.example,45,Practical Concrete Chair,59.91
Valarie Aufderhar,modesto.ziemann@stark.example,29,Ergonomic Leather Watch,54.66
Karl Botsford,shanna@conroy.test,47,Rustic Marble Knife,95.03
Veronika Shanahan,christia.lind@haag.test,20,Enormous Concrete Computer,41.27
Numbers Beatty,randall@schinner.example,63,Durable Wool Clock,9.74
Gustavo Lubowitz,mila.swift@tillman.example,36,Rustic Iron Plate,38.56
Lois Gleason,indira.gleichner@runte.example,60,Incredible Linen Chair,15.22
Ashli Hoeger,marty@zboncak-moore.test,35,Intelligent Aluminum Clock,92.08
Jason Osinski,ray@reichert.example,66,Durable Marble Table,41.77
Anibal Boehm,sid_carter@price.test,84,Small Silk Wallet,82.09
